None,26-05-2023 10:48,Депутаты выступили перед экспертами на водном совете в Камбодже,"Парламентарии рассказали о  важных законодательных и политических мерах, предпринимаемых на парламентском уровне в Кыргызстане в отношении водных ресурсов и воды, направленных на решение водных проблем в Центральной Азии."
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85438_news_cover_photo_slider.jpg,25-05-2023 16:35,Рассмотрен законопроект о ратификации Соглашения о взаимной правовой помощи по административным вопросам в сфере обмена персональными данными,Рассмотрен законопроект о ратификации Соглашения о взаимной правовой помощи по административным вопросам в сфере обмена персональными данными
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85439_news_cover_photo_slider.jpg,25-05-2023 16:18,Рассмотрен законопроект по ратификации Меморандума об обязательствах Исламской Республики Иран в целях получения статуса государства-члена Шанхайской организации сотрудничества,Рассмотрен законопроект по ратификации Меморандума об обязательствах Исламской Республики Иран в целях получения статуса государства-члена Шанхайской организации сотрудничества
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85440_news_cover_photo_slider.jpg,25-05-2023 16:17,Принят законопроект о ратификации Грантового соглашения по проекту «Модернизация и устойчивое развитие электроэнергетического сектора»,Принят законопроект о ратификации Грантового соглашения по проекту «Модернизация и устойчивое развитие электроэнергетического сектора»
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85432_news_cover_photo_slider.jpg,25-05-2023 15:50,"Рассмотрен законопроект, направленный на пресечение незаконной деятельности по организации и проведению подпольных (нелегальных) азартных игр","Рассмотрен законопроект, направленный на пресечение незаконной деятельности по организации и проведению подпольных (нелегальных) азартных игр"
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85420_news_cover_photo_slider.jpg,25-05-2023 12:58,Принят проект Закона «О внесении изменений в Закон Кыргызской Республики «О медиации» во втором чтении,Принят проект Закона «О внесении изменений в Закон Кыргызской Республики «О медиации» во втором чтении
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85418_news_cover_photo_slider.jpeg,25-05-2023 12:53,Принят законопроект  «О внесении изменений в Закон Кыргызской Республики «О химизации и защите растений» в третьем чтении,Принят законопроект  «О внесении изменений в Закон Кыргызской Республики «О химизации и защите растений» в третьем чтении
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85417_news_cover_photo_slider.jpg,25-05-2023 12:51,"Принят проект Закона «О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Уголовный Кодекс, Кодекс о правонарушениях)» в третьем чтении","Принят проект Закона «О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Уголовный Кодекс, Кодекс о правонарушениях)» в третьем чтении"
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85405_news_cover_photo_slider.jpeg,25-05-2023 12:39,Делегация ЖК КР встретилась с исполнительным директором Малазийского управления инвестиционного развития Нажихан Абас,Делегация ЖК КР встретилась с исполнительным директором Малазийского управления инвестиционного развития Нажихан Абас
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85422_news_cover_photo_slider.jpg,25-05-2023 12:04,Профильный комитет рекомендовал Жогорку Кенешу отклонить кандидатуру судьи Верховного суда  Болотбека Акматова в состав Совета по делам правосудия,Профильный комитет рекомендовал Жогорку Кенешу отклонить кандидатуру судьи Верховного суда  Болотбека Акматова в состав Совета по делам правосудия
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85416_news_cover_photo_slider.jpg,25-05-2023 11:52,Депутаты в ходе рассмотрения вопроса «разное» обратили внимание на социальные вопросы,Депутаты в ходе рассмотрения вопроса «разное» обратили внимание на социальные вопросы
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85413_news_cover_photo_slider.jpg,25-05-2023 11:46,Депутаты обозначили социально-экономические проблемы населения,Депутаты обозначили социально-экономические проблемы населения
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85395_news_cover_photo_slider.jpeg,25-05-2023 11:34,Депутаты Жогорку Кенеша встретились с членами Малазийской международной торгово-промышленной палаты,Депутаты Жогорку Кенеша встретились с членами Малазийской международной торгово-промышленной палаты
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85383_news_cover_photo_slider.jpg,25-05-2023 11:14,Депутаты обратили внимание на вопросы в сфере сельского хозяйства,Депутаты обратили внимание на вопросы в сфере сельского хозяйства
http://kenesh.kg//uploads/media/news_cover_photo/0001/86/thumb_85389_news_cover_photo_slider.jpg,25-05-2023 10:51,Депутаты подняли вопросы социально-экономического характера,Депутаты подняли вопросы социально-экономического характера
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82651_news_cover_photo_slider.jpg,19-04-2023 13:47,Принят проект конституционного Закона «О государственном языке Кыргызской Республики» во втором чтении,Принят проект конституционного Закона «О государственном языке Кыргызской Республики» во втором чтении
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82610_news_cover_photo_slider.jpg,19-04-2023 12:27,Депутат Чингиз Айдарбеков встретился с Послом Индии в Кыргызстане Аруном Кумаром Чаттерджи,Депутат Чингиз Айдарбеков встретился с Послом Индии в Кыргызстане Аруном Кумаром Чаттерджи
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82592_news_cover_photo_slider.jpg,19-04-2023 11:19,Принят проект конституционного закона «О Счетной палате Кыргызской Республики» во втором чтении,Принят проект конституционного закона «О Счетной палате Кыргызской Республики» во втором чтении
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82617_news_cover_photo_slider.jpg,19-04-2023 10:28,Рассмотрен законопроект о присоединении Кыргызстана к Конвенции о международном порядке взыскания алиментов на детей,Рассмотрен законопроект о присоединении Кыргызстана к Конвенции о международном порядке взыскания алиментов на детей
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82590_news_cover_photo_slider.jpg,19-04-2023 10:17,Принят законопроект о ратификации Кредитного соглашения по проекту «Устойчивое к климату водоснабжение в Кыргызской Республике» в третьем чтении,Принят законопроект о ратификации Кредитного соглашения по проекту «Устойчивое к климату водоснабжение в Кыргызской Республике» в третьем чтении
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82589_news_cover_photo_slider.jpg,19-04-2023 10:14,Принят законопроект о ратификации Четвертого протокола о внесении изменений в Устав ОДКБ,Принят законопроект о ратификации Четвертого протокола о внесении изменений в Устав ОДКБ
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82714_news_cover_photo_slider.jpg,18-04-2023 16:42,Профильный комитет заслушал информацию о реализации тарифной политики на электроэнергию,Профильный комитет заслушал информацию о реализации тарифной политики на электроэнергию
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82552_news_cover_photo_slider.jpeg,18-04-2023 15:54,"Комитет Жогорку Кенеша заслушал информацию МВД о результатах работы в сфере борьбы с незаконным оборотом наркотиков, предотвращении потребления наркотиков среди подростков и молодежи","Комитет Жогорку Кенеша заслушал информацию МВД о результатах работы в сфере борьбы с незаконным оборотом наркотиков, предотвращении потребления наркотиков среди подростков и молодежи"
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82579_news_cover_photo_slider.jpg,18-04-2023 15:23,Комитет Жогорку Кенеша рассмотрел законопроект «О внесении изменений в Кодекс Кыргызской Республики о правонарушениях»,Комитет Жогорку Кенеша рассмотрел законопроект «О внесении изменений в Кодекс Кыргызской Республики о правонарушениях»
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82522_news_cover_photo_slider.jpeg,18-04-2023 14:43,Депутат Жогорку Кенеша Айбек Маткеримов встретился с работниками медицинских учреждений Лейлекского района Баткенской области,Депутат Жогорку Кенеша Айбек Маткеримов встретился с работниками медицинских учреждений Лейлекского района Баткенской области
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82584_news_cover_photo_slider.jpg,18-04-2023 13:30,Профильный Комитет принял к сведению ежегодный доклад Национального центра Кыргызской Республики по предупреждению пыток,Профильный Комитет принял к сведению ежегодный доклад Национального центра Кыргызской Республики по предупреждению пыток
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82515_news_cover_photo_slider.jpg,18-04-2023 12:53,"Комитет по транспорту, коммуникациям, архитектуре и строительству  обсудил проект Закона в сфере государственных закупок","Комитет по транспорту, коммуникациям, архитектуре и строительству  обсудил проект Закона в сфере государственных закупок"
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82554_news_cover_photo_slider.jpg,18-04-2023 12:40,Комитет Жогорку Кенеша принял к сведению ежегодный доклад Акыйкатчы КР «О соблюдении прав и свобод человека и гражданина в Кыргызской Республике в 2022 году»,Комитет Жогорку Кенеша принял к сведению ежегодный доклад Акыйкатчы КР «О соблюдении прав и свобод человека и гражданина в Кыргызской Республике в 2022 году»
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82585_news_cover_photo_slider.jpg,18-04-2023 12:18,"Комитет Жогорку Кенеша одобрил проект Закона, направленный на взаимную правовую помощь по административным вопросам в сфере обмена персональными данными","Комитет Жогорку Кенеша одобрил проект Закона, направленный на взаимную правовую помощь по административным вопросам в сфере обмена персональными данными"
http://kenesh.kg//uploads/media/news_cover_photo/0001/83/thumb_82504_news_cover_photo_slider.jpeg,18-04-2023 12:09,Депутат Жогорку Кенеша Эльдар Сулайманов встретился с жителями Араванского района  Ошской области,Депутат Жогорку Кенеша Эльдар Сулайманов встретился с жителями Араванского района  Ошской области
